quote_id,leg_type,origin_warehouse_id,destination_type,destination_id,destination_name,haversine_km,road_factor,estimated_distance_km,base_idr_per_demand_unit,distance_rate_idr_per_km_per_demand_unit,lane_factor,noise_factor,quoted_idr_per_demand_unit,is_current_lane
LH-CEN-BEKASI-CAN-KENDARI,linehaul,CEN-BEKASI,candidate_warehouse,CAN-KENDARI,Kendari Candidate,1736.667,1.250,2170.834,900,7.00,1.160,0.9858,18400,false
LH-CEN-BEKASI-CAN-AMBON,linehaul,CEN-BEKASI,candidate_warehouse,CAN-AMBON,Ambon Candidate,2363.975,1.250,2954.969,900,7.00,1.320,0.9737,27700,false
LH-CEN-BEKASI-CAN-TERNATE,linehaul,CEN-BEKASI,candidate_warehouse,CAN-TERNATE,Ternate Candidate,2394.707,1.250,2993.383,900,7.00,1.320,0.9652,27800,false
LH-CEN-BEKASI-CAN-SORONG,linehaul,CEN-BEKASI,candidate_warehouse,CAN-SORONG,Sorong Candidate,2757.015,1.250,3446.269,900,7.00,1.320,0.9706,32100,false
LH-CEN-BEKASI-CAN-MANOKWARI,linehaul,CEN-BEKASI,candidate_warehouse,CAN-MANOKWARI,Manokwari Candidate,3062.004,1.250,3827.505,900,7.00,1.320,1.0287,37600,false
LH-CEN-BEKASI-CAN-NABIRE,linehaul,CEN-BEKASI,candidate_warehouse,CAN-NABIRE,Nabire Candidate,3173.890,1.250,3967.363,900,7.00,1.320,1.0022,37900,false
LH-CEN-BEKASI-CAN-MERAUKE,linehaul,CEN-BEKASI,candidate_warehouse,CAN-MERAUKE,Merauke Candidate,3691.652,1.250,4614.566,900,7.00,1.320,1.0580,46400,false
LH-CEN-SIDOARJO-FWD-MEDAN,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-MEDAN,Medan Forward Warehouse,1983.632,1.250,2479.540,900,7.00,1.160,1.0113,21400,false
LH-CEN-SIDOARJO-FWD-PALEMBANG,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-PALEMBANG,Palembang Forward Warehouse,1011.171,1.250,1263.963,900,7.00,1.160,1.0279,11600,false
LH-CEN-SIDOARJO-FWD-SEMARANG,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-SEMARANG,Semarang Forward Warehouse,259.478,1.250,324.347,900,7.00,1.000,1.0548,3300,false
LH-CEN-SIDOARJO-FWD-DENPASAR,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-DENPASAR,Denpasar Forward Warehouse,306.422,1.250,383.028,900,7.00,1.160,0.9882,4100,true
LH-CEN-SIDOARJO-FWD-BANJARMASIN,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-BANJARMASIN,Banjarmasin Forward Warehouse,503.918,1.250,629.897,900,7.00,1.160,0.9868,6100,true
LH-CEN-SIDOARJO-FWD-BALIKPAPAN,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-BALIKPAPAN,Balikpapan Forward Warehouse,828.704,1.250,1035.880,900,7.00,1.160,0.9602,9100,true
LH-CEN-SIDOARJO-FWD-MANADO,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-MANADO,Manado Forward Warehouse,1671.258,1.250,2089.073,900,7.00,1.160,0.9625,17300,false
LH-CEN-SIDOARJO-FWD-JAYAPURA,linehaul,CEN-SIDOARJO,forward_warehouse,FWD-JAYAPURA,Jayapura Forward Warehouse,3141.622,1.250,3927.027,900,7.00,1.320,0.9826,36800,false
LH-CEN-SIDOARJO-CAN-BANDA-ACEH,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-BANDA-ACEH,Banda Aceh Candidate,2410.863,1.250,3013.579,900,7.00,1.160,0.9795,25000,false
LH-CEN-SIDOARJO-CAN-PADANG,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-PADANG,Padang Candidate,1543.162,1.250,1928.953,900,7.00,1.160,1.0105,16900,false
LH-CEN-SIDOARJO-CAN-PEKANBARU,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-PEKANBARU,Pekanbaru Candidate,1531.233,1.250,1914.041,900,7.00,1.160,1.0198,16900,false
LH-CEN-SIDOARJO-CAN-JAMBI,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-JAMBI,Jambi Candidate,1199.633,1.250,1499.542,900,7.00,1.160,1.0252,13600,false
LH-CEN-SIDOARJO-CAN-BENGKULU,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-BENGKULU,Bengkulu Candidate,1226.319,1.250,1532.899,900,7.00,1.160,0.9695,13100,false
LH-CEN-SIDOARJO-CAN-BANDAR-LAMPUNG,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-BANDAR-LAMPUNG,Bandar Lampung Candidate,854.311,1.250,1067.889,900,7.00,1.160,1.0100,9800,false
LH-CEN-SIDOARJO-CAN-PONTIANAK,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-PONTIANAK,Pontianak Candidate,906.156,1.250,1132.695,900,7.00,1.160,1.0161,10400,false
LH-CEN-SIDOARJO-CAN-PALANGKARAYA,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-PALANGKARAYA,Palangkaraya Candidate,596.616,1.250,745.771,900,7.00,1.160,0.9964,7100,false
LH-CEN-SIDOARJO-CAN-SAMARINDA,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-SAMARINDA,Samarinda Candidate,915.550,1.250,1144.438,900,7.00,1.160,0.9682,10000,false
LH-CEN-SIDOARJO-CAN-TARAKAN,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-TARAKAN,Tarakan Candidate,1313.654,1.250,1642.068,900,7.00,1.160,0.9669,13900,false
LH-CEN-SIDOARJO-CAN-MATARAM,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-MATARAM,Mataram Candidate,394.914,1.250,493.643,900,7.00,1.240,1.0505,5700,false
LH-CEN-SIDOARJO-CAN-KUPANG,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-KUPANG,Kupang Candidate,1234.210,1.250,1542.762,900,7.00,1.240,0.9844,14300,false
LH-CEN-SIDOARJO-CAN-PALU,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-PALU,Palu Candidate,1076.944,1.250,1346.181,900,7.00,1.160,0.9846,11800,false
LH-CEN-SIDOARJO-CAN-KENDARI,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-KENDARI,Kendari Candidate,1149.289,1.250,1436.611,900,7.00,1.160,0.9988,12700,false
LH-CEN-SIDOARJO-CAN-AMBON,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-AMBON,Ambon Candidate,1761.076,1.250,2201.345,900,7.00,1.320,0.9864,21200,false
LH-CEN-SIDOARJO-CAN-TERNATE,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-TERNATE,Ternate Candidate,1866.815,1.250,2333.519,900,7.00,1.320,0.9780,22300,false
LH-CEN-SIDOARJO-CAN-SORONG,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-SORONG,Sorong Candidate,2180.721,1.250,2725.901,900,7.00,1.320,0.9978,26300,false
LH-CEN-SIDOARJO-CAN-MANOKWARI,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-MANOKWARI,Manokwari Candidate,2476.446,1.250,3095.558,900,7.00,1.320,1.0162,30300,false
LH-CEN-SIDOARJO-CAN-NABIRE,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-NABIRE,Nabire Candidate,2561.041,1.250,3201.302,900,7.00,1.320,0.9877,30400,false
LH-CEN-SIDOARJO-CAN-MERAUKE,linehaul,CEN-SIDOARJO,candidate_warehouse,CAN-MERAUKE,Merauke Candidate,3050.119,1.250,3812.649,900,7.00,1.320,0.9640,35100,false
LH-CEN-MAKASSAR-FWD-MEDAN,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-MEDAN,Medan Forward Warehouse,2502.151,1.250,3127.689,900,7.00,1.160,1.0091,26700,false
LH-CEN-MAKASSAR-FWD-PALEMBANG,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-PALEMBANG,Palembang Forward Warehouse,1645.249,1.250,2056.561,900,7.00,1.160,1.0239,18200,false
LH-CEN-MAKASSAR-FWD-SEMARANG,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-SEMARANG,Semarang Forward Warehouse,1017.195,1.250,1271.494,900,7.00,1.160,0.9835,11200,false
LH-CEN-MAKASSAR-FWD-DENPASAR,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-DENPASAR,Denpasar Forward Warehouse,608.591,1.250,760.739,900,7.00,1.160,0.9892,7100,false
LH-CEN-MAKASSAR-FWD-BANJARMASIN,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-BANJARMASIN,Banjarmasin Forward Warehouse,573.761,1.250,717.202,900,7.00,1.160,1.0441,7200,false
LH-CEN-MAKASSAR-FWD-BALIKPAPAN,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-BALIKPAPAN,Balikpapan Forward Warehouse,520.586,1.250,650.733,900,7.00,1.160,1.0202,6500,false
LH-CEN-MAKASSAR-FWD-MANADO,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-MANADO,Manado Forward Warehouse,950.418,1.250,1188.023,900,7.00,1.000,1.0510,9700,true
LH-CEN-MAKASSAR-FWD-JAYAPURA,linehaul,CEN-MAKASSAR,forward_warehouse,FWD-JAYAPURA,Jayapura Forward Warehouse,2372.812,1.250,2966.015,900,7.00,1.320,1.0510,30100,true
LH-CEN-MAKASSAR-CAN-BANDA-ACEH,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-BANDA-ACEH,Banda Aceh Candidate,2929.188,1.250,3661.485,900,7.00,1.160,1.0082,31000,false
LH-CEN-MAKASSAR-CAN-PADANG,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-PADANG,Padang Candidate,2161.993,1.250,2702.491,900,7.00,1.160,0.9736,22400,false
LH-CEN-MAKASSAR-CAN-PEKANBARU,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-PEKANBARU,Pekanbaru Candidate,2093.998,1.250,2617.498,900,7.00,1.160,1.0575,23600,false
LH-CEN-MAKASSAR-CAN-JAMBI,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-JAMBI,Jambi Candidate,1799.229,1.250,2249.036,900,7.00,1.160,0.9715,18800,false
LH-CEN-MAKASSAR-CAN-BENGKULU,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-BENGKULU,Bengkulu Candidate,1909.486,1.250,2386.858,900,7.00,1.160,0.9959,20300,false
LH-CEN-MAKASSAR-CAN-BANDAR-LAMPUNG,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-BANDAR-LAMPUNG,Bandar Lampung Candidate,1568.724,1.250,1960.905,900,7.00,1.160,1.0437,17700,false
LH-CEN-MAKASSAR-CAN-PONTIANAK,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-PONTIANAK,Pontianak Candidate,1256.872,1.250,1571.091,900,7.00,1.160,1.0161,14000,false
LH-CEN-MAKASSAR-CAN-PALANGKARAYA,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-PALANGKARAYA,Palangkaraya Candidate,693.711,1.250,867.139,900,7.00,1.160,1.0287,8300,false
LH-CEN-MAKASSAR-CAN-SAMARINDA,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-SAMARINDA,Samarinda Candidate,575.207,1.250,719.009,900,7.00,1.160,0.9792,6700,false
LH-CEN-MAKASSAR-CAN-TARAKAN,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-TARAKAN,Tarakan Candidate,960.373,1.250,1200.466,900,7.00,1.160,1.0320,11100,false
LH-CEN-MAKASSAR-CAN-MATARAM,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-MATARAM,Mataram Candidate,529.067,1.250,661.334,900,7.00,1.240,0.9700,6700,false
LH-CEN-MAKASSAR-CAN-KUPANG,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-KUPANG,Kupang Candidate,724.043,1.250,905.053,900,7.00,1.240,1.0181,9100,false
LH-CEN-MAKASSAR-CAN-PALU,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-PALU,Palu Candidate,474.870,1.250,593.588,900,7.00,1.000,0.9927,5000,false
LH-CEN-MAKASSAR-CAN-KENDARI,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-KENDARI,Kendari Candidate,364.444,1.250,455.555,900,7.00,1.000,1.0111,4100,false
LH-CEN-MAKASSAR-CAN-AMBON,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-AMBON,Ambon Candidate,983.237,1.250,1229.047,900,7.00,1.320,1.0133,12700,false
LH-CEN-MAKASSAR-CAN-TERNATE,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-TERNATE,Ternate Candidate,1102.698,1.250,1378.372,900,7.00,1.320,1.0454,14600,false
LH-CEN-MAKASSAR-CAN-SORONG,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-SORONG,Sorong Candidate,1395.837,1.250,1744.796,900,7.00,1.320,1.0202,17700,false
LH-CEN-MAKASSAR-CAN-MANOKWARI,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-MANOKWARI,Manokwari Candidate,1692.564,1.250,2115.705,900,7.00,1.320,0.9840,20400,false
LH-CEN-MAKASSAR-CAN-NABIRE,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-NABIRE,Nabire Candidate,1792.102,1.250,2240.127,900,7.00,1.320,1.0299,22500,false
LH-CEN-MAKASSAR-CAN-MERAUKE,linehaul,CEN-MAKASSAR,candidate_warehouse,CAN-MERAUKE,Merauke Candidate,2344.335,1.250,2930.418,900,7.00,1.320,0.9944,28100,false
LM-FWD-MEDAN-IDN001,last_mile,FWD-MEDAN,province,IDN001,Aceh,200.447,1.250,250.558,2200,14.00,1.000,1.0454,6000,true
LM-FWD-MEDAN-IDN002,last_mile,FWD-MEDAN,province,IDN002,Sumatera Utara,173.245,1.250,216.557,2200,14.00,1.000,1.0571,5500,true
LM-FWD-MEDAN-IDN003,last_mile,FWD-MEDAN,province,IDN003,Sumatera Barat,550.052,1.250,687.564,2200,14.00,1.000,0.9461,11200,true
LM-FWD-MEDAN-IDN004,last_mile,FWD-MEDAN,province,IDN004,Riau,493.713,1.250,617.141,2200,14.00,1.000,0.9747,10600,true
LM-FWD-MEDAN-IDN005,last_mile,FWD-MEDAN,province,IDN005,Jambi,716.652,1.250,895.814,2200,14.00,1.000,1.0182,15000,true
LM-FWD-MEDAN-IDN006,last_mile,FWD-MEDAN,province,IDN006,Sumatera Selatan,942.231,1.250,1177.789,2200,14.00,1.000,0.9447,17700,true
LM-FWD-MEDAN-IDN007,last_mile,FWD-MEDAN,province,IDN007,Bengkulu,898.331,1.250,1122.914,2200,14.00,1.000,1.0164,18200,true
LM-FWD-MEDAN-IDN008,last_mile,FWD-MEDAN,province,IDN008,Lampung,1164.913,1.250,1456.142,2200,14.00,1.000,0.9828,22200,false
LM-FWD-MEDAN-IDN009,last_mile,FWD-MEDAN,province,IDN009,Kepulauan Bangka Belitung,1043.281,1.250,1304.102,2200,14.00,1.000,0.9910,20300,false
LM-FWD-MEDAN-IDN010,last_mile,FWD-MEDAN,province,IDN010,Kepulauan Riau,768.538,1.250,960.673,2200,14.00,1.000,0.9430,14800,true
LM-FWD-MEDAN-IDN011,last_mile,FWD-MEDAN,province,IDN011,DKI Jakarta,1415.558,1.250,1769.447,2200,14.00,1.160,0.9892,31000,false
LM-FWD-MEDAN-IDN012,last_mile,FWD-MEDAN,province,IDN012,Jawa Barat,1520.965,1.250,1901.207,2200,14.00,1.160,1.0211,34100,false
LM-FWD-MEDAN-IDN013,last_mile,FWD-MEDAN,province,IDN013,Jawa Tengah,1740.507,1.250,2175.633,2200,14.00,1.160,0.9755,37000,false
LM-FWD-MEDAN-IDN014,last_mile,FWD-MEDAN,province,IDN014,Daerah Istimewa Yogyakarta,1819.310,1.250,2274.138,2200,14.00,1.160,1.0499,41500,false
LM-FWD-MEDAN-IDN015,last_mile,FWD-MEDAN,province,IDN015,Jawa Timur,2000.793,1.250,2500.991,2200,14.00,1.160,0.9522,41100,false
LM-FWD-MEDAN-IDN016,last_mile,FWD-MEDAN,province,IDN016,Banten,1380.935,1.250,1726.168,2200,14.00,1.160,1.0589,32400,false
LM-FWD-MEDAN-IDN017,last_mile,FWD-MEDAN,province,IDN017,Bali,2223.141,1.250,2778.926,2200,14.00,1.160,1.0568,50400,false
LM-FWD-MEDAN-IDN018,last_mile,FWD-MEDAN,province,IDN018,Nusa Tenggara Barat,2439.161,1.250,3048.951,2200,14.00,1.240,0.9542,53100,false
LM-FWD-MEDAN-IDN019,last_mile,FWD-MEDAN,province,IDN019,Nusa Tenggara Timur,3088.787,1.250,3860.984,2200,14.00,1.240,1.0055,70100,false
LM-FWD-MEDAN-IDN020,last_mile,FWD-MEDAN,province,IDN020,Kalimantan Barat,1437.810,1.250,1797.263,2200,14.00,1.160,1.0663,33800,false
LM-FWD-MEDAN-IDN021,last_mile,FWD-MEDAN,province,IDN021,Kalimantan Tengah,1708.512,1.250,2135.640,2200,14.00,1.160,0.9586,35700,false
LM-FWD-MEDAN-IDN022,last_mile,FWD-MEDAN,province,IDN022,Kalimantan Selatan,2014.702,1.250,2518.378,2200,14.00,1.160,1.0207,44300,false
LM-FWD-MEDAN-IDN023,last_mile,FWD-MEDAN,province,IDN023,Kalimantan Timur,2030.926,1.250,2538.657,2200,14.00,1.160,1.0428,45700,false
LM-FWD-MEDAN-IDN024,last_mile,FWD-MEDAN,province,IDN024,Kalimantan Utara,1999.733,1.250,2499.667,2200,14.00,1.160,1.0321,44500,false
LM-FWD-MEDAN-IDN025,last_mile,FWD-MEDAN,province,IDN025,Sulawesi Utara,2846.627,1.250,3558.284,2200,14.00,1.160,0.9468,57100,false
LM-FWD-MEDAN-IDN026,last_mile,FWD-MEDAN,province,IDN026,Sulawesi Tengah,2527.405,1.250,3159.256,2200,14.00,1.160,0.9837,53000,false
LM-FWD-MEDAN-IDN027,last_mile,FWD-MEDAN,province,IDN027,Sulawesi Selatan,2519.491,1.250,3149.363,2200,14.00,1.160,0.9858,52900,false
LM-FWD-MEDAN-IDN028,last_mile,FWD-MEDAN,province,IDN028,Sulawesi Tenggara,2753.167,1.250,3441.459,2200,14.00,1.160,1.0075,58900,false
LM-FWD-MEDAN-IDN029,last_mile,FWD-MEDAN,province,IDN029,Gorontalo,2620.747,1.250,3275.934,2200,14.00,1.160,1.0543,58800,false
LM-FWD-MEDAN-IDN030,last_mile,FWD-MEDAN,province,IDN030,Sulawesi Barat,2386.757,1.250,2983.447,2200,14.00,1.160,0.9789,49900,false
LM-FWD-MEDAN-IDN031,last_mile,FWD-MEDAN,province,IDN031,Maluku,3760.746,1.250,4700.932,2200,14.00,1.320,1.0424,93600,false
LM-FWD-MEDAN-IDN032,last_mile,FWD-MEDAN,province,IDN032,Maluku Utara,3281.645,1.250,4102.057,2200,14.00,1.320,1.0088,79400,false
LM-FWD-MEDAN-IDN033,last_mile,FWD-MEDAN,province,IDN033,Papua,4515.170,1.250,5643.963,2200,14.00,1.320,0.9544,102300,false
LM-FWD-MEDAN-IDN034,last_mile,FWD-MEDAN,province,IDN034,Papua Barat Daya,3745.513,1.250,4681.891,2200,14.00,1.320,1.0656,95300,false
LM-FWD-MEDAN-IDN035,last_mile,FWD-MEDAN,province,IDN035,Papua Barat,4017.643,1.250,5022.053,2200,14.00,1.320,0.9826,94100,false
LM-FWD-MEDAN-IDN036,last_mile,FWD-MEDAN,province,IDN036,Papua Selatan,4661.113,1.250,5826.392,2200,14.00,1.320,0.9891,109400,false
LM-FWD-MEDAN-IDN037,last_mile,FWD-MEDAN,province,IDN037,Papua Tengah,4295.942,1.250,5369.928,2200,14.00,1.320,1.0059,102700,false
LM-FWD-MEDAN-IDN038,last_mile,FWD-MEDAN,province,IDN038,Papua Pegunungan,4619.515,1.250,5774.394,2200,14.00,1.320,1.0788,118300,false
LM-FWD-PALEMBANG-IDN001,last_mile,FWD-PALEMBANG,province,IDN001,Aceh,1186.349,1.250,1482.937,2200,14.00,1.000,0.9441,21700,true
LM-FWD-PALEMBANG-IDN002,last_mile,FWD-PALEMBANG,province,IDN002,Sumatera Utara,825.715,1.250,1032.144,2200,14.00,1.000,1.0215,17000,true
LM-FWD-PALEMBANG-IDN003,last_mile,FWD-PALEMBANG,province,IDN003,Sumatera Barat,533.114,1.250,666.392,2200,14.00,1.000,0.9561,11000,true
LM-FWD-PALEMBANG-IDN004,last_mile,FWD-PALEMBANG,province,IDN004,Riau,503.494,1.250,629.367,2200,14.00,1.000,1.0328,11400,true
LM-FWD-PALEMBANG-IDN005,last_mile,FWD-PALEMBANG,province,IDN005,Jambi,308.217,1.250,385.272,2200,14.00,1.000,0.9974,7600,true
LM-FWD-PALEMBANG-IDN006,last_mile,FWD-PALEMBANG,province,IDN006,Sumatera Selatan,99.628,1.250,124.535,2200,14.00,1.000,0.9631,3800,true
LM-FWD-PALEMBANG-IDN007,last_mile,FWD-PALEMBANG,province,IDN007,Bengkulu,275.985,1.250,344.982,2200,14.00,1.000,1.0112,7100,true
LM-FWD-PALEMBANG-IDN008,last_mile,FWD-PALEMBANG,province,IDN008,Lampung,207.632,1.250,259.540,2200,14.00,1.000,1.0268,6000,true
LM-FWD-PALEMBANG-IDN009,last_mile,FWD-PALEMBANG,province,IDN009,Kepulauan Bangka Belitung,169.501,1.250,211.877,2200,14.00,1.000,1.0623,5500,true
LM-FWD-PALEMBANG-IDN010,last_mile,FWD-PALEMBANG,province,IDN010,Kepulauan Riau,498.484,1.250,623.104,2200,14.00,1.000,1.0443,11400,true
LM-FWD-PALEMBANG-IDN011,last_mile,FWD-PALEMBANG,province,IDN011,DKI Jakarta,424.219,1.250,530.273,2200,14.00,1.160,1.0230,11400,true
LM-FWD-PALEMBANG-IDN012,last_mile,FWD-PALEMBANG,province,IDN012,Jawa Barat,529.171,1.250,661.463,2200,14.00,1.160,1.0580,14100,true
LM-FWD-PALEMBANG-IDN013,last_mile,FWD-PALEMBANG,province,IDN013,Jawa Tengah,746.315,1.250,932.894,2200,14.00,1.160,1.0384,18400,true
LM-FWD-PALEMBANG-IDN014,last_mile,FWD-PALEMBANG,province,IDN014,Daerah Istimewa Yogyakarta,825.862,1.250,1032.328,2200,14.00,1.160,1.0661,20600,false
LM-FWD-PALEMBANG-IDN015,last_mile,FWD-PALEMBANG,province,IDN015,Jawa Timur,1022.810,1.250,1278.512,2200,14.00,1.160,0.9470,22100,false
LM-FWD-PALEMBANG-IDN016,last_mile,FWD-PALEMBANG,province,IDN016,Banten,403.121,1.250,503.901,2200,14.00,1.160,0.9641,10300,true
LM-FWD-PALEMBANG-IDN017,last_mile,FWD-PALEMBANG,province,IDN017,Bali,1258.361,1.250,1572.951,2200,14.00,1.160,0.9842,27700,false
LM-FWD-PALEMBANG-IDN018,last_mile,FWD-PALEMBANG,province,IDN018,Nusa Tenggara Barat,1485.476,1.250,1856.845,2200,14.00,1.240,1.0511,36700,false
LM-FWD-PALEMBANG-IDN019,last_mile,FWD-PALEMBANG,province,IDN019,Nusa Tenggara Timur,2176.013,1.250,2720.016,2200,14.00,1.240,1.0409,52000,false
