city_id,city_name,province_id,province_name,admin2_id,admin2_name,population,demand_quantity,longitude,latitude
IDN-CITY-040,Kediri,IDN-PROV-EAST-JAVA,East Java,IDN-ADM2-3_0_0-B210,Kota Kediri,289418,290,112.001930,-7.833866
IDN-CITY-041,Sorong,IDN-PROV-SOUTHWEST-PAPUA,Southwest Papua,IDN-ADM2-3_0_0-B254,Kota Sorong,284410,285,131.381275,-0.916691
IDN-CITY-042,Tegal,IDN-PROV-CENTRAL-JAVA,Central Java,IDN-ADM2-3_0_0-B267,Kota Tegal,273825,274,109.152590,-6.850493
IDN-CITY-043,Pematang Siantar,IDN-PROV-NORTH-SUMATRA,North Sumatra,IDN-ADM2-3_0_0-B241,Kota Pematang Siantar,268254,269,99.061751,2.927539
IDN-CITY-044,Banda Aceh,IDN-PROV-ACEH,Aceh,IDN-ADM2-3_0_0-B176,Kota Banda Aceh,252899,253,95.332217,5.595440
IDN-CITY-045,Tarakan,IDN-PROV-NORTH-KALIMANTAN,North Kalimantan,IDN-ADM2-3_0_0-B264,Kota Tarakan,242786,243,117.606422,3.286581
IDN-CITY-046,Probolinggo,IDN-PROV-EAST-JAVA,East Java,IDN-ADM2-3_0_0-B244,Kota Probolinggo,239125,240,113.181557,-7.764660
IDN-CITY-047,Singkawang,IDN-PROV-WEST-KALIMANTAN,West Kalimantan,IDN-ADM2-3_0_0-B252,Kota Singkawang,235064,236,108.936917,0.823083
IDN-CITY-048,Batu,IDN-PROV-EAST-JAVA,East Java,IDN-ADM2-3_0_0-B184,Kota Batu,213046,214,112.571646,-7.754141
IDN-CITY-049,Pasuruan,IDN-PROV-EAST-JAVA,East Java,IDN-ADM2-3_0_0-B237,Kota Pasuruan,208006,209,112.906279,-7.654557
IDN-CITY-050,Lhokseumawe,IDN-PROV-ACEH,Aceh,IDN-ADM2-3_0_0-B215,Kota Lhokseumawe,188713,189,97.129199,5.149681
